InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;customerID;Churn
Fiber optic;Yes;No;No;No;Yes;Yes;1482-OXZSY;No
Fiber optic;No;Yes;No;Yes;No;Yes;1485-YDHMM;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1488-PBLJN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1488-SYSFC;No
DSL;Yes;Yes;Yes;Yes;No;Yes;1492-KGETH;No
DSL;Yes;No;Yes;Yes;Yes;Yes;1492-QGCLU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1493-AMTIE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1494-EJZDW;No
DSL;No;No;No;No;No;No;1496-GGSUK;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1498-DQNRX;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1498-NHTLT;No
DSL;No;No;No;No;No;No;1501-SGHBW;Yes
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;1502-XFCVR;Yes
DSL;Yes;Yes;No;Yes;Yes;No;1506-YJTYT;No
Fiber optic;No;No;No;No;Yes;No;1508-DFXCU;No
Fiber optic;No;No;Yes;Yes;No;Yes;1513-XNPPH;Yes
DSL;No;No;No;No;No;No;1518-OMDIK;No
DSL;Yes;Yes;No;No;Yes;Yes;1518-VOWAV;Yes
Fiber optic;No;Yes;No;Yes;Yes;No;1522-VVDMG;Yes
DSL;No;No;Yes;No;Yes;No;1525-LNLOJ;No
Fiber optic;No;No;Yes;Yes;No;Yes;1527-SXDPN;Yes
DSL;Yes;No;No;No;Yes;No;1530-ZTDOZ;No
DSL;Yes;No;No;No;No;No;1534-OULXE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1535-VTJOQ;No
DSL;No;No;No;Yes;No;No;1536-HBSWP;No
DSL;Yes;No;No;Yes;No;No;1536-YHDOE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1539-LNKHM;No
DSL;No;No;Yes;Yes;No;No;1541-ETJZO;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;No;1543-LLLFT;No
DSL;Yes;No;Yes;Yes;Yes;No;1544-JJMYL;No
Fiber optic;Yes;No;Yes;No;Yes;Yes;1545-ACTAS;No
Fiber optic;Yes;Yes;Yes;No;Yes;No;1545-JFUML;No
DSL;No;Yes;No;Yes;No;No;1548-ARAGG;No
Fiber optic;Yes;Yes;No;No;Yes;Yes;1548-FEHVL;No
Fiber optic;Yes;Yes;No;No;Yes;Yes;1550-EENBN;No
Fiber optic;No;Yes;No;No;No;Yes;1550-LOAHA;Yes
Fiber optic;Yes;No;No;Yes;Yes;Yes;1552-AAGRX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1552-CZCLL;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1552-TKMXS;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1555-DJEQW;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1555-HAPSU;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1557-EMYVT;No
DSL;No;No;No;No;No;No;1559-DTODC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1561-BWHIN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1563-IWQEX;No
DSL;No;Yes;No;Yes;Yes;No;1564-HJUVY;No
Fiber optic;No;No;No;No;No;Yes;1564-NTYXF;Yes
Fiber optic;No;Yes;Yes;No;No;No;1565-RHDJD;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;1567-DSCIC;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1568-BEKZM;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1568-LJSZU;No
Fiber optic;No;Yes;No;No;No;No;1569-TTNYJ;Yes
Fiber optic;No;No;No;Yes;Yes;Yes;1571-SAVHK;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;1573-LGXBA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1574-DYCWE;No
DSL;Yes;Yes;No;No;No;No;1575-KRZZE;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;1576-PFZIW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1577-HKTFG;Yes
Fiber optic;No;No;Yes;No;Yes;No;1579-KLYDT;Yes
Fiber optic;Yes;No;No;No;No;Yes;1580-BMCMR;No
DSL;No;Yes;No;Yes;No;No;1582-RAFML;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;1583-IHQZE;Yes
DSL;No;No;No;Yes;No;No;1585-MQSSU;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;1587-FKLZB;Yes
DSL;No;No;No;No;No;No;1589-AGTLK;Yes
Fiber optic;Yes;No;Yes;No;No;Yes;1591-MQJTP;No
Fiber optic;No;No;Yes;No;No;No;1591-NFNLQ;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1591-XWLGB;No
Fiber optic;No;No;No;No;No;No;1596-BBVTG;Yes
DSL;No;Yes;No;No;No;No;1596-OQSPS;No
DSL;No;No;Yes;Yes;Yes;Yes;1597-FZREH;Yes
Fiber optic;Yes;Yes;No;No;No;Yes;1597-LHYNC;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1599-EAHXY;No
Fiber optic;Yes;Yes;No;No;No;No;1599-MMYRQ;No
DSL;No;No;No;No;No;No;1600-DILPE;No
Fiber optic;No;No;No;No;No;No;1602-IJQQE;Yes
Fiber optic;No;No;No;No;Yes;Yes;1608-GMEWB;No
DSL;No;No;No;No;No;No;1612-EOHDH;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1614-JBEBI;No
Fiber optic;No;No;No;No;No;No;1618-CFHME;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1619-YWUBB;No
Fiber optic;Yes;Yes;Yes;Yes;No;Yes;1621-YNCJH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1622-HSHSF;No
DSL;No;Yes;No;Yes;No;No;1623-NLDOT;Yes
Fiber optic;No;Yes;No;No;No;Yes;1624-NALOJ;Yes
Fiber optic;Yes;No;No;No;Yes;No;1624-WOIWJ;Yes
Fiber optic;No;No;No;No;Yes;No;1625-JAIIY;Yes
Fiber optic;No;No;No;No;Yes;Yes;1626-ERCMM;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1627-AFWVJ;No
Fiber optic;No;Yes;No;No;No;Yes;1628-BIZYP;No
DSL;Yes;No;No;No;No;No;1629-DQQVB;No
DSL;No;No;No;No;No;No;1635-FJFCC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1635-HDGFT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1635-NZATJ;No
DSL;No;Yes;No;No;Yes;Yes;1636-NTNCO;No
Fiber optic;No;No;No;No;No;No;1640-PLFMP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1641-BYBTK;No
Fiber optic;No;Yes;No;No;Yes;Yes;1641-RQDAY;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1642-HMARX;No
Fiber optic;No;No;Yes;No;Yes;Yes;1644-IRKSF;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;1656-DRSMG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1657-DYMBM;No
Fiber optic;No;No;No;No;Yes;Yes;1658-BYGOY;Yes
Fiber optic;Yes;No;No;No;No;No;1658-TJVOA;No
Fiber optic;No;No;Yes;No;No;Yes;1658-XUHBX;No
DSL;No;No;Yes;No;No;No;1660-HSOOQ;Yes
DSL;Yes;No;No;Yes;No;Yes;1661-CZBAU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1663-MHLHE;No
Fiber optic;No;No;Yes;No;Yes;Yes;1666-JXLKU;No
DSL;No;No;No;No;No;No;1666-JZPZT;No
Fiber optic;No;Yes;No;Yes;No;Yes;1670-SVOWZ;Yes
DSL;Yes;Yes;Yes;Yes;Yes;No;1676-MQAOA;No
Fiber optic;No;No;No;No;Yes;No;1678-FYZOW;Yes
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;1679-JRFBR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1680-VDCWW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1682-VCOIO;No
DSL;No;Yes;No;Yes;Yes;No;1684-FLBGS;No
Fiber optic;No;Yes;Yes;No;Yes;No;1685-BQULA;No
DSL;No;No;No;No;No;No;1685-VAYJF;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1686-STUHN;No
Fiber optic;No;No;No;No;Yes;No;1689-MRZQR;Yes
Fiber optic;No;No;No;No;No;No;1689-YQBYY;No
Fiber optic;Yes;Yes;No;No;Yes;No;1696-HXOWK;No
DSL;No;No;No;No;No;No;1696-MZVAU;No
DSL;No;Yes;No;No;Yes;No;1697-BCSHV;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1697-LYYYX;No
DSL;Yes;No;Yes;No;Yes;No;1697-NVVGY;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;1698-XFZCI;No
DSL;No;No;No;Yes;Yes;No;1699-HPSBG;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1699-TLDLZ;No
DSL;Yes;Yes;Yes;No;No;No;1699-UOTXU;No
DSL;No;Yes;No;Yes;No;No;1702-CCFNJ;No
DSL;No;No;Yes;Yes;Yes;No;1703-MGIAB;No
Fiber optic;No;No;No;No;Yes;No;1704-NRWYE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1705-GUHPV;No
Fiber optic;No;Yes;Yes;No;Yes;No;1707-HABPF;No
DSL;Yes;Yes;Yes;Yes;No;Yes;1708-PBBOA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1709-EJDOX;No
Fiber optic;No;Yes;No;No;No;Yes;1710-RCXUS;No
DSL;Yes;No;No;Yes;No;No;1716-LSAMB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1722-LDZJS;No
Fiber optic;No;Yes;No;No;Yes;Yes;1723-HKXJQ;Yes
Fiber optic;No;No;No;No;Yes;Yes;1724-BQUHA;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1724-IQWNM;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1725-IQNIY;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1725-MIMXW;Yes
DSL;No;No;No;No;No;No;1728-BQDMA;No
Fiber optic;No;Yes;Yes;No;No;Yes;1728-CXQBE;No
DSL;Yes;Yes;No;Yes;No;No;1729-VLAZJ;No
DSL;No;No;No;Yes;No;No;1730-VFMWO;No
Fiber optic;No;No;No;No;No;Yes;1730-ZMAME;No
Fiber optic;No;Yes;No;Yes;No;Yes;1731-TVIUK;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;1732-FEKLD;No
Fiber optic;No;No;No;No;No;No;1732-VHUBQ;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1734-ZMNTZ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1735-XMJVH;No
DSL;No;No;No;No;No;Yes;1740-CSDJP;Yes
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1741-WTPON;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1744-JHKYS;No
Fiber optic;No;No;Yes;No;No;No;1746-TGTWV;No
DSL;No;No;No;No;Yes;No;1750-CSKKM;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;1751-NCDLI;No
DSL;Yes;No;No;No;Yes;No;1752-OZXFY;No
Fiber optic;No;No;No;No;Yes;Yes;1754-GKYPY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1755-FZQEC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1755-RMCXH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1757-TCATG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1760-CAZHT;No
Fiber optic;No;No;No;No;Yes;No;1761-AEZZR;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1763-KUAAW;No
DSL;No;No;No;Yes;No;No;1763-WQFUK;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1764-VUUMT;No
Fiber optic;No;No;No;No;No;Yes;1766-GKNMI;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1767-CJKBA;No
DSL;No;No;No;No;No;No;1767-TGTKO;No
DSL;Yes;No;No;Yes;No;Yes;1768-HNVGJ;No
DSL;No;No;No;No;No;No;1768-ZAIFU;Yes
Fiber optic;No;No;No;No;No;No;1769-GRUIK;No
Fiber optic;No;Yes;Yes;No;No;Yes;1771-OADNZ;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1775-KWJKQ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1776-SPBWV;No
DSL;No;No;No;No;No;No;1777-JYQPJ;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1779-PWPMG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1784-BXEFA;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;1784-EZDKJ;No
Fiber optic;No;No;Yes;No;Yes;No;1785-BPHTP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1790-NESIO;No
DSL;Yes;No;No;No;No;Yes;1791-PQHBB;No
Fiber optic;No;Yes;Yes;No;Yes;No;1792-UXAFY;Yes
DSL;Yes;No;No;No;No;No;1794-HBQTJ;Yes
DSL;No;No;Yes;Yes;No;No;1794-SWWKL;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1796-JANOW;No
DSL;No;Yes;No;Yes;No;No;1803-BGNBD;No
DSL;No;No;No;No;No;No;1809-DMJHQ;Yes
Fiber optic;Yes;Yes;No;No;No;Yes;1810-BOHSY;No
DSL;Yes;Yes;Yes;Yes;No;No;1810-MVMAI;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1813-JLKWR;No
Fiber optic;Yes;No;No;No;No;No;1813-JYWTO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1814-DKOLC;No
DSL;Yes;No;Yes;Yes;Yes;No;1814-WFGVS;No
DSL;No;No;No;Yes;No;No;1816-FLZDK;No
Fiber optic;No;No;Yes;Yes;No;Yes;1818-ESQMW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1820-DJFPH;No
Fiber optic;No;No;No;No;No;No;1820-TQVEV;Yes
DSL;Yes;No;Yes;No;No;No;1821-BUCWY;No
Fiber optic;Yes;Yes;Yes;Yes;No;No;1830-GGFNM;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1830-IPXVJ;No
Fiber optic;No;No;Yes;No;Yes;No;1832-PEUTS;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;1833-TCXKK;No
Fiber optic;No;No;No;No;No;No;1833-VGRUM;Yes
DSL;No;No;Yes;No;No;No;1834-ABKHQ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1834-WULEG;No
DSL;Yes;No;Yes;Yes;Yes;Yes;1837-YQUCE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1839-FBNFR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1839-UMACK;No
DSL;No;Yes;No;Yes;Yes;No;1840-BIUOG;No
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;1841-YSJGV;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;1842-EZJMK;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1843-TLSGD;No
Fiber optic;No;No;No;No;Yes;No;1845-CSBRZ;No
DSL;No;Yes;No;No;No;No;1845-ZLLIG;No
Fiber optic;No;No;No;No;No;No;1846-XWOQN;Yes
DSL;Yes;No;No;No;No;No;1848-LBZHY;No
DSL;Yes;No;No;No;Yes;No;1849-RJYIG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1850-AKQEP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1852-QSWCD;No
DSL;Yes;Yes;Yes;No;No;No;1852-XEMDW;No
DSL;No;No;Yes;No;Yes;Yes;1853-ARAAQ;No
Fiber optic;No;No;No;No;No;No;1853-UDXBW;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;1855-AGAWH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1855-CFULU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1862-QRWPE;No
DSL;No;Yes;No;No;Yes;No;1862-SKORY;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1866-DIOQZ;No
DSL;Yes;Yes;Yes;Yes;No;Yes;1866-NXPSP;No
Fiber optic;No;Yes;No;No;No;No;1866-OBPNR;No
Fiber optic;No;No;Yes;No;Yes;Yes;1866-RZZQS;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1866-ZSLJM;No
Fiber optic;No;No;No;No;No;No;1867-BDVFH;Yes
Fiber optic;Yes;No;No;No;No;No;1867-TJHTS;No
Fiber optic;Yes;No;No;Yes;No;No;1871-MOWRM;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1872-EBWSC;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;1875-QIVME;Yes
DSL;Yes;No;No;Yes;No;No;1877-HKBQX;No
Fiber optic;No;Yes;No;No;Yes;No;1891-FZYSA;Yes
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;1891-QRQSA;No
Fiber optic;No;No;Yes;No;Yes;No;1891-UAWWU;Yes
Fiber optic;No;No;No;No;Yes;Yes;1894-IGFSG;Yes
DSL;No;No;No;No;No;No;1895-QTKDO;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1897-OKVMW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1897-RCFUM;No
DSL;No;Yes;No;No;Yes;No;1898-JSNDC;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;1899-VXWXM;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;1902-XBTFB;Yes
DSL;Yes;Yes;Yes;No;No;No;1904-WAJAA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1905-OEILC;No
Fiber optic;No;Yes;No;No;No;No;1907-UBQFC;Yes
DSL;Yes;No;Yes;No;No;Yes;1907-YLNYW;No
Fiber optic;No;No;No;No;No;Yes;1910-FMXJM;No
Fiber optic;No;No;No;No;No;No;1915-IOFGU;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1915-OAKWD;No
Fiber optic;No;Yes;Yes;No;No;No;1918-ZBFQJ;Yes
DSL;No;No;No;No;No;No;1919-RTPQD;No
DSL;No;No;Yes;Yes;No;Yes;1921-KYSAY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1925-GMVBW;No
DSL;No;No;Yes;No;Yes;Yes;1925-LFCZZ;No
Fiber optic;No;No;No;No;Yes;No;1925-TIBLE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1926-QUZNN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1927-QEWMY;No
DSL;Yes;Yes;No;No;No;No;1928-BXYIV;No
DSL;Yes;No;Yes;Yes;No;No;1929-ZCBHE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1930-BZLHI;No
Fiber optic;Yes;Yes;No;Yes;No;Yes;1930-QPBVZ;No
Fiber optic;No;Yes;No;No;Yes;Yes;1930-WNXSB;No
Fiber optic;No;Yes;No;No;Yes;Yes;1932-UEDCX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1934-MKPXS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1934-SJVJK;Yes
Fiber optic;No;No;No;No;Yes;Yes;1935-IMVBB;No
DSL;No;Yes;No;No;Yes;Yes;1936-CZAKF;No
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;1936-UAFEH;No
Fiber optic;Yes;No;Yes;Yes;Yes;No;1937-OTUKY;No
Fiber optic;No;No;No;No;Yes;Yes;1941-HOSAM;No
DSL;No;No;No;No;No;No;1942-OQFRW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1945-XISKS;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;1950-KSVVJ;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1951-IEYXM;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1952-DVVSW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1955-IBMMB;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;1956-YIFGE;No
DSL;No;No;No;No;No;No;1958-RNRKS;No
DSL;Yes;Yes;Yes;No;Yes;Yes;1960-UOTYM;No
Fiber optic;No;Yes;Yes;No;No;Yes;1960-UYCNN;No
DSL;No;No;No;No;No;No;1963-SVUCV;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1963-VAUKV;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1964-SVLEA;No
Fiber optic;No;Yes;No;No;No;No;1965-AKTSX;Yes
Fiber optic;No;No;No;Yes;No;Yes;1965-DDBWU;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1970-KKFWL;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;1971-DTCZB;No
DSL;No;No;No;Yes;Yes;No;1972-XMUWV;No
DSL;Yes;Yes;No;No;No;No;1976-AZZPJ;No
DSL;No;No;No;No;No;No;1976-CFOCS;Yes
Fiber optic;No;Yes;No;No;No;No;1977-STDKI;Yes
Fiber optic;No;No;No;No;No;No;1980-KXVPM;Yes
Fiber optic;No;No;No;No;Yes;No;1981-INRFU;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1982-FEBTD;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;1984-FCOWB;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1984-GPTEH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1985-MBRYP;No
DSL;Yes;Yes;No;No;No;No;1986-PHGZF;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1987-AUELQ;No
Fiber optic;No;No;No;No;No;No;1989-PRJHP;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1991-VOPLL;No
Fiber optic;No;No;No;No;No;No;1996-DBMUS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1998-VHJHK;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;2000-DHJUY;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;2000-MPKCA;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;2001-EWBQU;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;2001-MCUUW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2002-MZHWP;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;2003-CKLOR;Yes
Fiber optic;No;No;No;No;No;Yes;2004-OCQXK;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2005-DWQZJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2007-QVGAW;No
DSL;No;Yes;Yes;No;No;No;2011-TRQYE;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;2012-NWRPA;Yes
Fiber optic;No;Yes;No;No;Yes;No;2013-SGDXK;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;2014-MKGMH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2017-CCBLH;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;2018-PZKMU;No
Fiber optic;No;No;No;No;No;Yes;2018-QKYGT;No
Fiber optic;No;No;Yes;No;Yes;Yes;2019-HDCZY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2023-VQFDL;No
Fiber optic;No;No;Yes;No;No;No;2024-BASKD;Yes
Fiber optic;No;No;No;Yes;Yes;Yes;2025-JKFWI;Yes
Fiber optic;No;No;No;No;No;Yes;2026-TGDHM;Yes
Fiber optic;No;No;No;Yes;No;Yes;2027-CWDNU;No
DSL;Yes;No;Yes;Yes;No;No;2027-DNKIV;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;2027-FECZV;Yes
DSL;No;No;Yes;No;Yes;Yes;2027-OAQQC;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;2027-WKXMW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2030-BTZRO;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;2034-CGRHZ;Yes
Fiber optic;No;No;No;No;Yes;Yes;2034-GDRCN;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;2037-SGXHH;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;2037-XJFUP;Yes
Fiber optic;No;No;Yes;Yes;Yes;Yes;2038-LLMLM;No
Fiber optic;No;No;Yes;No;No;Yes;2038-OEQZH;No
DSL;Yes;Yes;No;Yes;No;No;2038-YSEZE;No
DSL;Yes;Yes;No;No;No;No;2039-JONDJ;No
DSL;No;Yes;Yes;Yes;Yes;Yes;2040-LDIWQ;No
Fiber optic;No;No;No;Yes;No;No;2040-OBMLJ;No
Fiber optic;Yes;No;No;No;Yes;Yes;2040-VZIKE;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;2040-XBAVJ;No
DSL;No;Yes;No;No;No;Yes;2041-JIJCI;No
DSL;Yes;No;Yes;No;No;No;2043-WVTQJ;No
DSL;Yes;Yes;Yes;No;Yes;Yes;2045-BMBTJ;No
DSL;No;No;Yes;Yes;No;No;2049-BAFNW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2050-ONYDQ;No
DSL;No;No;Yes;Yes;Yes;Yes;2054-PJOCK;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;2055-BFOCC;No
Fiber optic;No;No;No;No;No;No;2055-PDADH;Yes
DSL;No;No;No;No;No;No;2055-SIFSS;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;2056-EVGZL;No
Fiber optic;Yes;Yes;Yes;Yes;No;No;2057-BOYKM;No
Fiber optic;No;No;No;No;No;Yes;2057-ZBLPD;Yes
Fiber optic;No;No;No;No;No;No;2058-DCJBE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2061-VVFST;No
DSL;No;No;No;No;Yes;Yes;2065-MMKGR;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;2067-QYTCF;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2068-WWXQZ;No
Fiber optic;Yes;No;No;No;No;No;2070-FNEXE;Yes
Fiber optic;No;No;Yes;No;No;No;2070-XYMFH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2072-ZVJJX;No
DSL;No;Yes;No;Yes;No;No;2073-QBVBI;No
Fiber optic;No;No;No;No;Yes;Yes;2074-GKOWZ;Yes
Fiber optic;No;Yes;Yes;Yes;No;No;2074-GUHPQ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2075-PUEPR;No
DSL;Yes;No;No;No;No;No;2075-RMJIK;No
DSL;Yes;Yes;Yes;Yes;No;No;2077-DDHJK;No
